comentario,valor
"Awful prejudice staff. Hotel smelled of sewers. Staff were beyond rude and prejudice towards us as a couple. Half of the stay we were without air conditioning and booking.com FALSELY ADVERTISE the pool area. There are two small pools not one huge one!! There are cheaper better hotels, please don't stay here. The rooms are not as shown which we soon discovered is because they have a 'show hotel room' for pictures!! Absolute joke",Bad
"Bad :(. cockroaches-roaches, cheaply furnished room, bad destination, evereday worried about our stuff, we are waiting to our deposit very long time. It was worst experience at Tenerife.",Bad
"bad bad hotel. there are no clean
they give you used towles you can notice hair in the towels clearly
the staffs were very angry with children spicelaly resturant staffs
the food was the same all the days and not fresh
and they use ready meat 
its so poor food",Bad
"Bad hotel be careful. The same food every day and they use freeze meat and ready food 
And ants ecery where en the hotel",Bad
Bad rooms. Com. Nothing do not book with this company,Bad
"Be careful with this place!. This hotel is really terrible! I don't know how old the place is but it not looks good. I had a room with balcony and the view was at reception roof where is living 15 cats! People who is living there give them food from thems windows. So you can have some on your head ass vell. Cats are really noisy,I couldn't sleep on the night. If U want to have your balcony open they want to come in!One more think i want to warn people for is the wood trap in the toilet. I almost got this on my head when i want to take a bath!! I was lucky then i didn't because it is really heavy! I was complaining about this to women who is working there the longest she said she will call me during the day for talk with me about response but it never happened. Please people be carefully woth this hotel. I don't how how is it possible that they have 4 stars.",Bad
"be carefull they charge you more than what they show you on booking.com. ***be very careful***  they show different price on the booking.com and charging more 
they charge me 20 euro more, and lying looking into my eyes .very cheapp...",Bad
"Bed bugs .. Bed bugs ....
Bad smell.",Bad
"bon mais je choisirais un autre logement la prochaine fois. No hot enough water for washing (water heater with a capacity of 5 liters and then wait 3 hours of heating).The shower was broken. We sum washed by heating water in pans.
cold reception, does not speak English or French, 30 minutes to find someone to give us the keys, same for the start.
Pas d'eau chaude en suffisance pour se laver (boiler d'une capacité de 5 litres puis attendre 3 heures de chauffe); La douche ne était cassée. Nous nous somme lavé en faisant chauffer de l'eau dans des casseroles.
Accueil froid,ne parle pas anglais,ni français, 30 minute pour trouver quelqu'un pour nous donner les clefs, même chose pour le départ.",Bad
"Booking.. Booking.com and reception staff on night duty on14th January at this hotel ruined out two week holiday and three months of planning!  And caused us major stress since returning!   I have phones booking.com at least eight times regarding our messed up booking!  But they refused to return our calls and now say it's our fault and not theirs,  and refuse to except liability!   When we made this booking I phoned hotel and booking.com to confirm this was for two people and told yes. It was clearly in two names!  It said two adults!  We booked in and receives two armbands and paid our bill up front!  The day before our departure we ask if we owed anything on our bill and were told NO!  but four Hours before we were due to fly back We received a phone call to say they had made a mistake and only charges us for one person they then took a payment off our card again while we were in disputed of this additional charge!      We have Called the hotel at least six times They kept promising to get a manager to phone us!  But no one has bother! We will never use  Bookings.com again and either will our friends and family!!!!",Bad
"Burgled, cockroaches everywhere, rude staff, disgusting rooms......PLEASE AVOID. Awful location on the steepest hill. Entire hotel is on a crazy steep hill nicknamed Cardiac Hill. Rooms seriously run down, Uncomfortable beds, cockroach infestation, bed bugs and ants everywhere, room robbed on 3rd night as burglar easily forced open balcony door. No CCTV anywhere except reception. Security scarce, never once asked to show wristband.  staff (particularly Luis) no help when robbed, never offered a sorry or any assistance. All euros, sterling, jewellery and perfume stolen. Went to local police station, had to wait 4 hours to make a report, policeman friendly and to stated nobody would ever be caught and that ""robbery happens every day at this hotel and is very normal"". When I returned to hotel, Luis stated that he was unable to help as had 700 guests to help! I was given free breakfast next morning after Luis accepted he had given me no help only for waitress to refuse entry until she spoke to a manager, when reporting robbery found that 2 other families had been robbed in same afternoon. was told by Luis that next day manager Eva would help with CCTV, complaints etc but she was unhelpful, refused to contact main manager to get code to access CCTV. Moved to a new room to find cupboard full of dead cockroaches, bed sheets stained and patio door unlocked. Could not wait to check out next day, will never ever return to this hotel or resort",Bad
"Cheap(ish) but not cheerful.... Opposite very loud building site, hotel opposite being built, spoke to reception who moved us to a quieter room on the ground level next to hairdressers. Had to move rooms then a second time due to cockroach infestation climbing the walls next to bed and a family of them in the kitchen, so moved rooms a third time onto the top foot - which was a lot nicer!
Restaurant never opened once, only the tiny cafe of which, the buffet looked very minimal and unnapatising.",Bad
"Cockroaches in room, TV all spanish,  toaster didn't.... Read the anove",Bad
"Cold, damp, basic room. Checking in was poor. The man had only a few English words. And had his earphones on which was rude. I got a room on the top floor. There is no working lights on the stairs. The room itself was fine. The bed was the most uncomfortable sleep I have ever had. The room was damp. And the locks on the doors are incredibly loud so you can hear people come and go. I could hear the couple in the room next to me at it all night. Had 2 nights booked but cancelled second night. Also no bin in the room.",Bad
Deceiving and rude staff!!. Very rude staff. A completely different room was offered than the one we had booked. When asked to talk to the manager - they did not even bother to call him. Do not book here,Bad
"Dirty room with cocoroaches. No room cleaning. No nothing. The poorest yet not the cheapest hotels. 1. The room is DIRTY! And it has cockroach!!!! More than one! We saw them every day on the short three days!
2. The first room we got in got literally no water after one toilet usage. I walked 1 KM (Yes, from our room to the reception it took 15 minutes to walk, because the dusted room phone was not working at all!) to tell the staff, they only say: we will fix it. After I insisted to change room, we got another bigger room, but samely dirty. One big death cockroach was in front of the door. 
3. Shower: after 5 minutes the water gets colder and colder. 
4. There is a computer near the front desk urging people to write ""reviews""regarding their hotel. I wonder what kind of people can sell their insatisfaction to exchange one free breakfast...
5. I know it is an apartment hotel. Still it is a hotel and charge not really less. In the two night of our stay, there is no any cleaning service. I am not talking about towel change which anyway won't take place. 
Because of this hotel, I have grown extreme doubt about the service level of the whole Gran Canaria island.",Bad
disabled people stay away as well as able bodied.. I am a wheel chair user and had informed the hotel when booking. When we arrived reception was closed we had 7 bags and a wheel chair no help available so 2 flights of stairs down 1 flight up and that was only to the lift after the lift only another 3 flights to go to our appt .We had no choice but to sleep there. Next morning after climbing 3 flights of stairs to have breakfast the pool bar was closed and I was exhausted for nothing.  So I asked to be put in another hotel eventually they fave me a room in a sister hotel we has to call another taxi and move 7 bags again. I'll explain the 7 bags we were getting married on the 14th of august .not even an apology I have motor neuron and can't speak only through computer . I have never felt so helpless degraded and utterly dismissed as a human.,Bad
"Disappointment of holidays. There was a unique atmosphere of trying to cash in from the very first ""Hi"" and a request to pay for a stay in advance at the reception to the last days of our visit...   
Be aware of extra charges! as the hotel charges you extra for (nearly) everything: for a glass of water (!!!) at prepaid (""Half board is included"") dinner (don't event dare to dream about a glass of vine for yourselves, or coca-cola for your children), 8€ for parking place (despite the fact that they do have own garage and the fact that in 15 minutes walking distance there is a possibility to park a car free of charge at public places), for safe-deposit, for Internet (2€ for 10 min.), for tennis-court (5€/hour // 2 racket 6€) which is totally empty morning, noon, and night.
There is no air conditioner in the room, stale air and laud mix of dowdy music from outside bars just killing the efforts to have a rest.
The hotel boasts of its swimming pool (you saw pictures already for surely). But there is no possibility to get a sun bed as they all are 'reserved' (by leaving towels) for all day long by guest in the early morning when they pass to the dinning hall to have breakfast.
In short, please don't waist your time and money, don't spoil your holidays staying at this hotel if you come and have chance to pick the hotel on your own. ""Score of this hotel 7.7 from 210 reviews""?!? There are much, much better hotels (and locations!) in the wonderful island for the similar price range!
We will be happy to never ever come back to Hovima Santa María hotel. Save us!",Bad
"Disaster. No towel, no checkin help, no sheets, no cleaning, no english speaking, no assistance
Must be stopped by booking.com",Bad
Disgusting accomodation and guests. Everything,Bad
"Disgusting infested with cockroaches and miles from amenities
. Leaving to go home",Bad
Disgusting place. Room isn't clean . Shower facilities kinda 1960s !!! No air conditioner on the room. Staffs wasn't friendly at all. Everything was so dirty !!  I would say... better stay away from that place !!!,Bad
Dissapointed and a waste of money. Everything from uncomfortable beds to very basic amenities no entertainment for children and not value for money at all.Never going back or recommending anyone.Very costly,Bad
dissaster. me dad had 500 pounds stolen and 50 euros from is wallet and only me and me dad had the keys as its a private apartment ther was no break in at all so it was a inside job,Bad
Do not book this hotel disgraceful. Everything the rooms were terrible bugs all over in the beds too every day you woke up. False information all round when making booking. Never again booking .com thought I could rely on you for a decent hotel it was horrible all round. Food like slop prisoners would probably get better!!,Bad
"DO NOT GO. Do not go, dirty rooms cold food, one plug socket per room all inclusive a joke bar shuts twice a day my daughter not allowed fizzy pop dye to health reasons was told to drink water during dinner as juice not available the cleaners are the friendliest and one waiter the rest if staff do not know how to smile, no English TV",Bad
DO NOT GO HERE!. Everything.,Bad
Do not stay here. Rooms rubbish,Bad
"Do not stay here! Is a 2 star hotel pretending is 4.. - bad cleaning
- outdated bad smelling rooms
- scratched walls&furniture
- wretched food
- at breakfast all plates were dirty
I am sorry I can't add more photos (I have many)",Bad
DON'T GO. Not going,Bad
Don't go there. I didn't like anything about this place reception said to busy to be able to serve a coffee so we just left had to wait q5 mins for her to hand over our passports when they were in front of her,Bad
"Don't stay at Alborada beach resort. Everything, we were charged for WiFi with nothing none in the room, we left after 4days and rented alternative accommodation",Bad
Don't stay here. Very  unhygienic place staff rude food very very poor Quality,Bad
"Don't waste your money on this horrible hotel. 1. There was no paved access to the hotel, you need to carry your luggage.
2. The reception is open from 10am to 4pm
3. Poor quality towels changed every 2 days
4. Bed linen was not changed at all
5. Pool towels were smelly and dirty
6. Very old fashioned cooker with no marks
7. Broken socket in the kitchen
8. No instruction to microwave
9. No toilet roll holder
10. Chipped bath
11. Floor dirty and never cleaned
12. Accommodation above the restaurant where you can hear noise and air conditioning
13. Hotel advertised as nudist friendly with bedroom overlooking the streets
14. Dirty jacuzzi
15. Sauna not working
16. Internet only works in the kitchen",Bad
"dont book ,no matter how good a deal you get .. dont book ,no matter how good a deal you get .
We made the mistake of using booking .com in the first place but even still the rest of the stay was awful
Surly unhelpful staff at reception 
Housekeeping was non exisantant.
Flies eveywhere
The best thing about the place is the pictures on booking.com web site .
No matter what deal you see advertised ,go somewhere else",Bad
Dont stay at this hotel. Given the wrong room not the room we booked,Bad
down right dangerous and not fit for abitation. Everything,Bad
Dreamtime in Teneriife. nan,Bad
Dump. There Not Enough Time In The World To Write It Down,Bad
Everything. Germans hogging the beds at pool,Bad
"Everything, I have never stayed in a worse hotel before.. Everything, I have never stayed in a worse hotel before.",Bad
Evrything bad.. Evrything bad. This Hotel only for old people..Room very dirty and evryday from waredrobe take cockroach.. Bed it's 2 single bed together put.,Bad
Excelent. La animació fluixeta,Bad
"Excellent hotel near a lovely beach.  Facilities great, staff exceptionally helpful.  Lovely. nan",Bad
Filthy. Room,Bad
Filthy and uncomfortable place.. Noises all day long ( roof repairs + noisy conversations around the swimming pool ) ruined our stay. Impossible to get a rest and reception did not help. Old string mattresses. Mega slow wifi that disconnect 4 times per minute. Dirty place. Look pictures.,Bad
"Friendly cat walking around the apartment. 1) Hot water only lasts for 1 minute, then you continue to shower with cold water
2) In Apt 113 there was a terribly loud noise of the sewage pipes from above (woke up in our sleep)
3) Paid 20 EUR for 7 days internet and it only worked half the time (paid amount to Josef Karczewski via PayPal).",Bad
"Full of cockaroaches. Room was outdated and had a horrible smell to it, everywere was dirty. Checked out after the 2nd night of a 7 night stay and got another hotel due to having 7 cockaroaches in the room withinf 5 minutes",Bad
"Highly NOT recommended!!!. Very very crowdy hotel, don't get mistaken by small bungalows, there are a lot of families with noisy children; the AC didn't work in our room, we changed the room and it didn't work either; Customer Relations Manager didn't do anything for us, she was rude and unpolite - she said ""it's not my business"" when we complained about the AC; the food is horrible - if you want to try the worst scrambled eggs in your life - go for a breakfast...",Bad
Horrendous - never again. They advertised free wifi - not true - said beach was 1k away - not true - really poor quality everything,Bad
horrible. nada,Bad
hotel from hell horrible staff. The staff was horrible ignorant and didnt av the time of day for you the pool never got cleaned all children come out with coldsores never again wud i go to that hotel food was terrible nothing for kids at all,Bad
"How anybody could enjoy a stay in this hotel is beyond me. It's not a 2.5, it's a zero. The buffet meals were a poor selection, very poor quality and a mad scramble to get food. It was common for 'guests' to help themselves using their hands. Baskets of bread and cakes evidently had 'fresh' put on the top (rolls at the bottom were solid, cakes were squashed). ""All inclusive"" means you get cheap booze in plastic cups from 10.00-22.00. If not all inclusive you have to pay for drinks at reception and take a receipt to the bar. €1.5 for a cardboard mini cup of coffee made with sweetened milk meant we could not get a drink in the hotel for 4 days. Ever wondered what happened to all those 10"" TV's used for games? This hotel has them all. Want to watch their advertised ""satellite TV""? Watch Sky News with squiggly lines. No other channels, no chance of changing audio on the few Spanish channels. Leaving property in your room? Maid will leave your balcony door open all day. Free wifi? Yes but weak signal and sitting in the lounge with worn out furniture. Entertainment? Dream on. Go into town? 250 steps down and up again ... or taxis of course. Mugging? Yep, 50 metres from the hotel.",Bad
I didn't like anything about this place I came home a.... I didn't like anything about this place I came home a week early over the apartments,Bad
I don t advice. Very poor and small room you can t recharge your phone no plugins in room,Bad
"i don't like staff 
. i don't like staff 
we arrive 21.00 evenning and we have booking this hotel for 1 month before we arrive 
when we arrive the hotel have give away our room for other customer , we have booking for 4 adult and 2 small children 2 and  3 year old . then they said they not welcome to my small children very bad and let us stay for 1 night and we have to pay 425 Euro 
 price too expensive and bad staff want only money to customer we have to waiting for checking 3 hour my small children have to sleep in the midnight",Bad
I left at daylight after the first night's stay. It is not a safe place to stay at in my view.. This is not a safe place to stay at and the common parts are not secure at night.,Bad
"I would like to inform about situation, wich happend with me.... I would like to inform about situation, wich happend with me in this hotel. 
I was stay in this hotel from 6 until 8 june 2016. (in rooms Nr 153 and 154). It was my holiday and i spend it on the Puerto de la Cruz beach. 
After check in to the hotel I could see that for dinner you can only come in long pants. Such rules exist in many hotels, and I'm not against them, but long pants I have debts. Wearing a classic men's shorts (below the knee), I went out to dinner. Coming to Dinner June 6th I met a very unpleasant dining worker who in a very rude manner made me a lot bad words and did not want to start up on dinner. But later still let. At dinner he served our table. He showed a dislike to me.
On the second day, when he saw me in the same clothes, June 7, he made the whole idea. He stopped me at the entrance to the dining room, everyone's mind began to curse, to call someone, waving his arms and cause the colleagues. I stood and was the laughing stock of 20 minutes.
I am not against the rules of long pants, but I have their debts. I am a customer of the hotel, I paid for the hotel and received a very negative impression of your holiday.
I think he had to solve the problem diplomatically, because I am his client, without humiliating me in front of all visitors
I like to report that the employee dining room and asked his name at Reception, but the reception employee hid his name, and said nothing. I can describe it - a thin man of 50, a gray short-haired, bespectacled.
I hope my review will see the maximum number of people and the authorities of the employee.",Bad
"It's in a nice location not far from the beach. Rooms not clean, not a 4 star hotel needs to be closed and renovated",Bad
"leaving the hotel. staff i hated them , and waking up to ants  in my room(thousands of them) , balcony rails about to fall of building so scary,",Bad
"Misrepresented . Poorly equipped, run down with units falling away and doors on cupboards not fitting well. No cleaning equipment sponges or tea towels. Bed linen smelt stake (we washed them ourselves)
Electric kept tripping. Paint falling off the bathroom ceiling. Very over priced. The pictures on the site do not show this unit, but better ones on this site. The road is ten meters away from the balcony. Everyone that walks by this busy street looks onto the balcony. The pictures showed the swimming pool. When I complained owner just laughed.",Bad
"My appalling experiences with Yucca Park. I Arrived  with my kids only for them to tell me there was no way we could not have the room that we booked due to a major problem with the room. They attempted to place the blame on me by saying I was not available for a phone call, this was due to the fact I was already inside the plane on my way to Tenerife.They offered us a room which was not availing of the facilities I had booked for. The hotel they offered me was not to the standard that I would expect but I had no choice but to accept given the circumstances. I was beginning to accept being In this hotel room until I came home from my shopping to find one of the providers, Marina in my room cleaning without my permission which is a breach of my security and when I complained they forced me to check out before the agreed time. Overall I am EXTREMELY disappointed with my experience in Tenerife due to these events and would not reccomend this hotel to anyone.",Bad
n/a. The property was subletted and took us hours to try and get in.,Bad
Never again. Hotel and how it was full of spanish who got more thought of than us the british tourist .it got very noisey and no respect for others you could not relax atal,Bad
"never again. We have arrived late and hotel staff was not helpful to us.
They have no knowledge about the possibilities to park the car, I had to ask a man on the street (bought ticket for underground parking 28 EUR / 7 days).
Breakfast not tasty and every day the same with not much choice.
Dinner we have tasted only at the first day and never again (it was paid).
Cockroaches in the room.
Cleaning was not done properly during last 3 days of stay.
Not recommended to stay during summer. No AC in the room! In order to be able to breathe we had to sleep with open glass doors in front of the  street where people are drunk-noisy.",Bad
"Never again. The rooms were tiny and accessed via a series of three corridors a flight of stairs and a lift. The key card failed on 5 occasions. The noise was deafening at all hours of the day and night and there is no air conditioning. There was also for some bizarre reason, a SOCK hanging from the ceiling.",Bad
never again. everything was terrible,Bad
"Never again!. Everything was terrible. Food was bad, rooms was dirty and not like on photos. Every night there was loud noise until 2-3 a.m and we couldnt sleep. For internet (which didnt work at rooms) we needed to pay and it was really really slow (normal web page opening few minutes, no chance to play a video)",Bad
never come again. location is different with  the address on the  website....wifi was  super expensive....kitchen  is  dirty,Bad
"never come back. if the owner take care of his buisness i hope he will understand our review and make some conclusions. 
1. you need change half of your staff, especially barmens (Alvaro have to be first). We payed hundreds of pounds for all inclisive holidays and wanted receive service, i even dont say about smile, but how he give drinks, like drop a bone for the homeless dog. It seems like we asked drinks fo free, but we payed for them. If you suggest all incluisive please say to all your staff that we have unlimitted drinks and we payed for them for a week more then their salary for a month. So the mood was awfull after attitude of barmens. And these opinion is  not only mine, everybody says these, but people on holidays dont want to go to the manager and argue, because its holidays. But all people while we were on holidays said that never will come back and tell all their friends dont go to these hotel.
2. you need change bed blankets and pillows. its disgusting  to touch the blanket, they are so old and thousends of people sleep under them, they are very dirty.
3. no intertaiment 
4. you need change your chef in the kitchen. variety  of food is good: fresh vegetables,fruites a few types of meat and fish, but salads are awfull, and all meals cooked ""without soul"".",Bad
"nic to miejsce jest niebezpieczne i stare. Horrible place, never go there, dirty and symely, beercan unde sink and old brushes and paint. Everything is  smellying cigarettes The TV does not work, but it's not over my husband had the accident there glass from the terrace broke on him, it was old and in bad condition. My husband has 18  stitches on hand. He has surgery on tendons I have three children all could die there. The accident happened on the second day after my arrival, the owner told me to brush down the glass and wait until the next day and insert a new glass and did not want to give me money, I had to rent a second apartment. Nightmare. This apartment is not suitable for rent even for free. The person who gave me the key came to the place of the accident of a drunk lady who avoided the policman  and did not pick up the phone. This place is dangerous there is a second window which one day will come out and kill somebody.",Bad
Nice. nan,Bad
"Nice cook, nice view, and absolutely nothing besides the.... Not Worth the Money ! Very Very far from the sea!
3.5miles !!!
Tragic service!
Icy water in the pool!
Very windy!
Hotel for renewal !
Complete lack of internet ! 
you pay 15 euros per person not per room per person for a  week and still dont't continuing lack of connection ! JOKE !!! If You have ec. three  device that you want to connect to the internet then you have to pay  15 EURO FOR EACH !!! and still dont't have coverage of network:( meals was ok, but even a glass of water you have to pay !
Dinners issued between 6pm-9pm but at 8:30pm they beginning to take food during you still have not finished the meal !! TRAGEDY !! morrnig 5 minutes before the hour of the end of the breakfast, no chance to dring a tea even because it's all hidden :( ZERO ATTRACTIONS !!
WORST SERVICE HOTEL WHICH WE HAVE SEEN And we visited ALREADY MANY COUNTRIES IN THE WORLD. People who are satisfied with this hotel is probably the first time in my life were on vacation.
I warn you to look for something else!
",Bad
Nightmare at the Roca Verde. Everything,Bad
Nightmare from start to finish never ever again. Getting the keys was a nightmare,Bad
"Nightmare. avoid. Worst hotel ever. Old slow receptionist.  You will pay extra money for INTERNET 7days for 1 phone 30€
7 days 2 phones 50€ can be used only close to reception. Non air-condition even non fan!!!!!
Tv only for extra nearly 50€
Electric room keys doesn't work properly. So you have to go reception and wait 15minutes for fix problem. Every second day.
Extremely noise from pubs. Drunk people screaming and runing on corridors 
Facilities very old 
Big holes in towels 
Old Blanket smell like ....
Hotel FONTAINE smell disgusting 
Mattress covered in noise plastic .so every move will wake you up.
IF YOU NEED NICE HOLIDAY AVOID THIS PLACE.
",Bad
no a place to stay - place no recommendable even to your.... no a place to stay - place no recommendable even to your worse enemy,Bad
"No recommendation, located next to a crowded, noisy street.. The traffic is strong throughout the whole time, there is no significant difference at night. You have several bus lines crossing, since there is a hospital nearby, ambulances pass by often with sirens.",Bad
"Not even worth for 1 Euro!. Theoretically, it is a three-star hotel but I have no idea why it received these stars. The standards are worse than in a hostel. We were greeted by ""tight tired"" receptionist! It stank in the room, the electricity didn't work, the bedroom with small top windows was dirty and shabby. The windows were leaking and you could hear everything from outside. You could even smell the cigarettes. Instead of bed sheets we got dirty blankets. The side kitchen was tiny, with no kettle, pots, frying pan or microwave. We got only cutlery for two people and an electric cooker which was out of order. When we complained at the reception, a woman came inside without knocking as if nobody was there. She furiously walked around the room and went out slamming the doors. Later on we learnt at the reception that everything was fine. If you want to waste your holidays and throw away your money you must definetely choose this hotel :(",Bad
"Not every bungalow in an acceptable part of grounds.. Was assigned a bungalow in a dark, distant, view and air depriced corner of grounds only accessible using torch on personal phone as lighting was broken. Was refused a room closer to entrance despite many being empty. Had to refuse accomodation on the grounds of unsuitability. Over the next 15 minutes more rooms being sold to arrivals by taxi so alternative bungalows were available.",Bad
"Not friendly, not clean, very basic, they talk about air- co.... Not friendly, not clean, very basic, they talk about air- co but it s not in the room, they don t answer mails with requests. I never gonna book this hotel again and i so not understand why this hotel is so high rated.",Bad
Not recommended. Broken beds.air conditioner does not work.there is no ventilation.cockroach in the bathroom. Two got runny nose.,Bad
"NOT RECOMMENDED. The room needed a major renovation including basic repairs paint to furniture. Didn't check the bed for cleanliness and woke up in the morning to a blood stain that was underneath the pillow, on the sheets, and pillow cases. Informed reception who didn't even apologise and acted like it was a normal everyday complaint. The sheets that we got had permanent marker stains on this time. There was not much choice for food at breakfast, lunch or dinner. And the food that was there looked 1 day old. The toilets in the bar need to be cleaned and repaired.",Bad
"Not the best place to stay. It was filthy dirty, nothing like the Photos, Jacuzzi or Sauna not working 
Dirty Carpets 
Food very poor 
Staff never smiled 
Not a sucure resort a sister someone tried to break into our room",Bad
Nothing. Staff were rude food had flies all over it rats in pool never ever stay in this hotel wouldnt keep a dog in it food rotten mouldy horrid hotel,Bad
Nothing. Small and ugly bungalow. Lots of humidity inside. Views to a wall. No facilities. Imposible to change to other bungalow,Bad
"NOTHING. It's awful the food is disgusting it's the same food for breakfast dinner and tea , all loungers at pool are broken U have to queue in morning for s lounger mat there is only 20 or so , not enough for the rooms they have , toom not cleaned once in the week we were there I done it myself",Bad
Nothing. Everything,Bad
Nothing. nan,Bad
Nothing. No hot water for the whole off the stay,Bad
Nothing .. All.,Bad
Nothing at all.. Absolutely awful resort...pokey bungalows...absolutely vile clientele whom were very aggressive and unfriendly...would never stay here again.,Bad
"Nothing to like. Thought it was an abandoned building from the outside and in. dont book it, sleep on the street, its cleaner and safer!!!",Bad
"Nothing!. Staff unfriendly and unhelpful. Very noisy, we had a small baby that was constantly woken up. Dirty apartments with threadbare, dirty towels!",Bad
"Nothing!. Own terrace, nice, just walking in water. While having lunch and going for a smoke aggressive staff shouts all over the place "" pay pay pay"", disgrace, avoid if you can.",Bad
One of the Best Hotels Not merely in Tenerife but in Spain. Nothing of any consequence.,Bad
OUR WORST HOLIDAY EXPERIENCE EVER ..... nan,Bad
"Payed in cash while checking out at the morning, but hotel.... Payed in cash while checking out at the morning, but hotel took money from card used for booking as well! Thatd disgusting! Re-check your card if book this hotel.",Bad
Perfect fof families. nan,Bad
Pool area and the rooms. The food and hygiene,Bad
"Private balcony, onsite shop, walk to beach, near Europa. nan",Bad
really bad. the staff didn't response our ask. nan,Bad
"Roach infested, filthy rooms, no cleaning, rude unhelpful staff who refused a refund. We refused a dark room dreary room. We were moved to another room which wasn't cleaned. Staff said it would be cleaned then after the staff changeover we were told it wouldn't be. Rooms were infested with cockroaches, staff were rude and unhelpful and looked for any excuse to argue. We tried to get a refund after the first night and we were told we couldn't that the ""owners"" had the money. Avoid at all costs",Bad
"So disappointing.. Staff were so rude especially to the kids, they're favourite expression was ""move"" I guess it meant excuse me please. Kids club was appalling. Late every day they showed up when ever they felt like it. And most days it was just for an hour. Very 😞.  No air conditioning. No free sun beds by the pool. No where to sit at dinner...everything was rushed. Quality of food was so bad. Can't emphasise enough how rude the staff were. Especially the kids entertainer. a girl whom in the mornings when she did turn up and rarely on time was very irate and impatient. Would Not recommend based on this lack of professional services or staff.",Bad
son impresentables. nan,Bad
"Staff is really kind and their job is well done. I was specifically there for the good reviews of the wi-fi ( Business Trip )
WI FI was really bad. Impossible to get connection and work. Really unsatisfied!",Bad
staff very poor service poor require updating food cold at.... staff very poor service poor require updating food cold at all times,Bad
"Stay away from the plaVe
. Everything!!
",Bad
"Stay away from this slum!. 2.5 seems to be the lowest I can rate this place, but it certainly deserves a zero. The hotel was disgusting. Our blankets had cigarette burn holes and the pool was filthy. Our room backed on a smoggy, smelly highway and the windows rattled every time a car drove by. There was no wifi whatsoever, and we were given 1 towel and 1 roll of toilet paper for a 5 day stay with 2 people. The pictures looked nothing like our apartment. We had to pay separate deposits for the safe, safe key and TV remote. Staff did nothing to address our concerns and the manager was not on site. We left after the first night as the place was unlivable.
Two weeks after leaving, sending emails and several calls, we still have not heard back from the management. We asked for a refund for the nights we didn't stay, and are simply being ignored.",Bad
"Stay away, I'm sure some fake reviewer will come on and say go it's fabulous but it's not....... Everything, terrible place, don't be fooled by their pictures on their website it's all fake, it's really awful, please don't spend your money on this place....I'm sure this review will be followed a positive one.....that's the way they work...it's awful, really awful. please believe me, absolutely awful :-(",Bad
"stay elsewhere. 3 out of 4 pools were under construction. There are problems with payment of the staff... For the price, other hotels and bungalows are better.",Bad
